Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
CONGRUENT,RIGHT,866.6666684,"('Time_Max_Exceeded', 867.0002999999724)",0,,,RIGHT,510.1983,55:56.3,55:57.1,135,s4,ConflictResolution
INCONGRUENT,RIGHT,1200.000002,"('Time_Max_Exceeded', 1200.3325000000586)",0,,,RIGHT,745.318,55:58.3,55:59.2,136,s4,ConflictResolution
INCONGRUENT,LEFT,1050.000002,"('Time_Max_Exceeded', 1050.3117000000657)",0,,,LEFT,493.3615,56:00.3,56:01.0,137,s4,ConflictResolution
CONGRUENT,LEFT,1183.333336,"('Time_Max_Exceeded', 1183.614900000066)",0,,,LEFT,417.298,56:02.2,56:02.8,138,s4,ConflictResolution
CONGRUENT,RIGHT,783.3333349,"('Time_Max_Exceeded', 783.6412000000337)",0,,,RIGHT,420.6974,56:03.7,56:04.3,139,s4,ConflictResolution
CONGRUENT,LEFT,800.0000016,"('Time_Max_Exceeded', 800.3336000000445)",0,,,LEFT,401.4156,56:05.1,56:05.7,140,s4,ConflictResolution
INCONGRUENT,LEFT,850.0000017,"('Time_Max_Exceeded', 850.3160000000207)",0,,,LEFT,664.2124,56:06.6,56:07.5,141,s4,ConflictResolution
CONGRUENT,LEFT,1050.000002,"('Time_Max_Exceeded', 1050.2415000000838)",0,,,LEFT,413.6929,56:08.5,56:09.2,142,s4,ConflictResolution
INCONGRUENT,RIGHT,1050.000002,"('Time_Max_Exceeded', 1050.1870000000508)",0,,,RIGHT,787.3055,56:10.2,56:11.2,143,s4,ConflictResolution
INCONGRUENT,RIGHT,1466.66667,"('Time_Max_Exceeded', 1466.9857000000093)",0,,,RIGHT,497.2127,56:12.7,56:13.4,144,s4,ConflictResolution
INCONGRUENT,LEFT,533.3333344,"('Time_Max_Exceeded', 533.6621999999807)",0,,,LEFT,756.922,56:14.0,56:14.9,145,s4,ConflictResolution
INCONGRUENT,RIGHT,983.3333353,"('Time_Max_Exceeded', 0.25810000011006196)",0,,,RIGHT,450.7188,56:15.9,56:16.6,146,s4,ConflictResolution
CONGRUENT,LEFT,1500.000003,"('Time_Max_Exceeded', 1500.2797999999302)",0,,,LEFT,428.0705,56:18.1,56:18.8,147,s4,ConflictResolution
INCONGRUENT,LEFT,616.6666679,"('Time_Max_Exceeded', 616.9282000000749)",0,,,LEFT,628.9374,56:19.4,56:20.2,148,s4,ConflictResolution
INCONGRUENT,RIGHT,1066.666669,"('Time_Max_Exceeded', 0.22890000013831013)",0,,,RIGHT,490.8992,56:21.3,56:22.0,149,s4,ConflictResolution
CONGRUENT,RIGHT,533.3333344,"('Time_Max_Exceeded', 0.10219999990113138)",0,,,RIGHT,481.929,56:22.6,56:23.3,150,s4,ConflictResolution
INCONGRUENT,RIGHT,1133.333336,"('Time_Max_Exceeded', 0.26049999996757833)",0,,,RIGHT,551.1102,56:24.4,56:25.2,151,s4,ConflictResolution
INCONGRUENT,LEFT,733.3333348,"('Time_Max_Exceeded', 733.5958000001028)",0,,,LEFT,547.6826,56:25.9,56:26.7,152,s4,ConflictResolution
INCONGRUENT,RIGHT,1233.333336,"('Time_Max_Exceeded', 1233.6562000000413)",0,,,RIGHT,490.366,56:28.0,56:28.7,153,s4,ConflictResolution
CONGRUENT,RIGHT,1066.666669,"('Time_Max_Exceeded', 1066.990799999985)",0,,,RIGHT,412.7411,56:29.7,56:30.4,154,s4,ConflictResolution
INCONGRUENT,RIGHT,516.6666677,"('Time_Max_Exceeded', 516.9952999999623)",0,,,RIGHT,716.9773,56:30.9,56:31.8,155,s4,ConflictResolution
CONGRUENT,RIGHT,1183.333336,"('Time_Max_Exceeded', 1183.6397999998098)",0,,,RIGHT,391.3895,56:33.0,56:33.6,156,s4,ConflictResolution
